altitude,temperature,density,pressure
30050,226.559,0.0182691,1188.120161
30100,226.608,0.0181292,1179.276845
30150,226.658,0.0179904,1170.506326
30200,226.707,0.0178527,1161.798283
30250,226.757,0.0177161,1153.163052
30300,226.806,0.0175806,1144.59047
30350,226.856,0.0174461,1136.084203
30400,226.905,0.0173127,1127.640753
30450,226.955,0.0171804,1119.270144
30500,227.004,0.0170491,1110.956006
30550,227.054,0.0169188,1102.708208
30600,227.103,0.0167896,1094.523559
30650,227.153,0.0166613,1086.398743
30700,227.202,0.0165341,1078.337239
30750,227.252,0.0164079,1070.3421
30800,227.301,0.0162827,1062.403912
30850,227.351,0.0161584,1054.525575
30900,227.401,0.0160352,1046.715474
30950,227.45,0.0159129,1038.95603
31000,227.5,0.0157915,1031.256453
31050,227.549,0.0156711,1023.614211
31100,227.599,0.0155517,1016.038379
31150,227.648,0.0154332,1008.513502
31200,227.698,0.0153156,1001.048513
31250,227.747,0.015199,993.6411603
31300,227.797,0.0150833,986.2937083
31350,227.846,0.0149684,978.9909617
31400,227.896,0.0148545,971.7546647
31450,227.945,0.0147415,964.5697559
31500,227.995,0.0146293,957.4382247
31550,228.044,0.0145181,950.3647663
31600,228.094,0.0144077,943.3446953
31650,228.143,0.0142982,936.3762914
31700,228.193,0.0141895,929.4612827
31750,228.242,0.0140817,922.5980776
31800,228.292,0.0139747,915.7882768
31850,228.341,0.0138686,909.030415
31900,228.391,0.0137632,902.3194113
31950,228.44,0.0136588,895.6670359
32000,228.49,0.0135551,889.0615265
32100,228.589,0.0133502,876.0017889
32200,228.756,0.0131446,863.1410309
32300,229.033,0.0129361,850.478461
32400,229.31,0.0127312,838.0197007
32500,229.587,0.0125298,825.7590183
32600,229.864,0.0123318,813.6906504
32700,230.141,0.0121372,801.8154081
32800,230.419,0.0119459,790.1309173
32900,230.696,0.0117579,778.6310529
33000,230.973,0.011573,767.306826
33100,231.25,0.0113912,756.1589759
33200,231.527,0.0112126,745.1948883
33300,231.804,0.0110369,734.3953644
33400,232.081,0.0108642,723.7677579
33500,232.358,0.0106945,713.3127845
33600,232.635,0.0105275,703.0111263
33700,232.912,0.0103634,692.8767989
33800,233.189,0.010202,682.8971065
33900,233.466,0.0100434,673.079395
34000,233.744,0.00988736,663.4110672
34100,234.021,0.00973396,653.8923875
34200,234.298,0.00958313,644.5221608
34300,234.575,0.00943481,635.2969598
34400,234.852,0.00928896,626.2146869
34500,235.129,0.00914553,617.2725564
34600,235.406,0.00900449,608.4691184
34700,235.682,0.0088658,599.7996919
34800,235.959,0.0087294,591.2659025
34900,236.236,0.00859526,582.8636775
35000,236.513,0.00846334,574.5908402
35100,236.79,0.0083336,566.4452014
35200,237.067,0.008206,558.424559
35300,237.344,0.0080805,550.5266983
35400,237.621,0.00795707,542.7500739
35500,237.898,0.00783567,535.0924481
35600,238.175,0.00771627,527.552254
35700,238.452,0.00759882,520.1265462
35800,238.729,0.0074833,512.8144195
35900,239.005,0.00736966,505.6107883
36000,239.282,0.00725789,498.5196772
36100,239.559,0.00714794,491.535946
36200,239.836,0.00703978,484.6579634
36300,240.113,0.00693339,477.8847778
36400,240.39,0.00682872,471.2133613
36500,240.667,0.00672576,464.6434333
36600,240.943,0.00662447,458.1707336
36700,241.22,0.00652482,451.7974151
36800,241.497,0.00642678,445.5198585
36900,241.774,0.00633033,439.33706
37000,242.05,0.00623544,433.2455244
37100,242.327,0.00614208,427.2471437
37200,242.604,0.00605022,421.3383764
37300,242.881,0.00595985,415.5188832
37400,243.157,0.00587092,409.7838444
37500,243.434,0.00578343,404.1369989
37600,243.711,0.00569734,398.5741813
37700,243.988,0.00561263,393.0943247
