geometric_altitude,geopotential_altitude,temperature_kelvin,temperature_centigrade,pressure,density,gravity
19050.0,18993.0,216.65,-5650.0,64.1698,0.103183,9.7481
19100.0,19043.0,216.65,-5650.0,63.6689,0.102378,9.748
19150.0,19092.0,216.65,-5650.0,63.1718,0.101579,9.7478
19200.0,19142.0,216.65,-5650.0,62.6787,0.100786,9.7477
19250.0,19192.0,216.65,-5650.0,62.1894,0.099999,9.7475
19300.0,19242.0,216.65,-5650.0,61.7039,0.0992184,9.7474
19350.0,19291.0,216.65,-5650.0,61.2223,0.0984439,9.7472
19400.0,19341.0,216.65,-5650.0,60.7444,0.0976754,9.7471
19450.0,19391.0,216.65,-5650.0,60.2702,0.096913,9.7469
19500.0,19440.0,216.65,-5650.0,59.7997,0.0961565,9.7468
19550.0,19490.0,216.65,-5650.0,59.333,0.095406,9.7466
19600.0,19540.0,216.65,-5650.0,58.8699,0.0946613,9.7465
19650.0,19589.0,216.65,-5650.0,58.4104,0.0939224,9.7463
19700.0,19639.0,216.65,-5650.0,57.9544,0.0931893,9.7461
19750.0,19689.0,216.65,-5650.0,57.5021,0.092462,9.746
19800.0,19739.0,216.65,-5650.0,57.0533,0.0917403,9.7458
19850.0,19788.0,216.65,-5650.0,56.608,0.0910243,9.7457
19900.0,19838.0,216.65,-5650.0,56.1662,0.0903139,9.7455
19950.0,19888.0,216.65,-5650.0,55.7279,0.089609,9.7454
20000.0,19937.0,216.65,-5650.0,55.2929,0.0889097,9.7452
20050.0,19987.0,216.65,-5650.0,54.8614,0.0882158,9.7451
20100.0,20037.0,216.687,-5646.3,54.4333,0.0875125,9.7449
20150.0,20086.0,216.736,-5641.4,54.0086,0.0868098,9.7448
20200.0,20136.0,216.786,-5636.4,53.5873,0.086113,9.7446
20250.0,20186.0,216.836,-5631.4,53.1694,0.0854219,9.7445
20300.0,20235.0,216.885,-5626.5,52.7549,0.0847365,9.7443
20350.0,20285.0,216.935,-5621.5,52.3437,0.0840568,9.7442
20400.0,20335.0,216.985,-5616.5,51.9358,0.0833827,9.744
20450.0,20384.0,217.034,-5611.6,51.5312,0.0827142,9.7439
20500.0,20434.0,217.084,-5606.6,51.1298,0.0820511,9.7437
20550.0,20484.0,217.134,-5601.6,50.7317,0.0813936,9.7436
20600.0,20533.0,217.183,-5596.7,50.3368,0.0807415,9.7434
20650.0,20583.0,217.233,-5591.7,49.945,0.0800948,9.7432
20700.0,20633.0,217.283,-5586.7,49.5564,0.0794534,9.7431
20750.0,20682.0,217.332,-5581.8,49.1709,0.0788173,9.7429
20800.0,20732.0,217.382,-5576.8,48.7885,0.0781864,9.7428
20850.0,20782.0,217.432,-5571.8,48.4091,0.0775608,9.7426
20900.0,20832.0,217.482,-5566.8,48.0328,0.0769403,9.7425
20950.0,20881.0,217.531,-5561.9,47.6595,0.0763249,9.7423
21000.0,20931.0,217.581,-5556.9,47.2892,0.0757146,9.7422
21050.0,20981.0,217.631,-5551.9,46.9219,0.0751093,9.742
21100.0,21030.0,217.68,-5547.0,46.5575,0.074509,9.7419
21150.0,21080.0,217.73,-5542.0,46.196,0.0739137,9.7417
21200.0,21130.0,217.78,-5537.0,45.8375,0.0733232,9.7416
21250.0,21179.0,217.829,-5532.1,45.4817,0.0727376,9.7414
21300.0,21229.0,217.879,-5527.1,45.1289,0.0721568,9.7413
21350.0,21279.0,217.929,-5522.1,44.7788,0.0715809,9.7411
21400.0,21328.0,217.978,-5517.2,44.4316,0.0710096,9.741
21450.0,21378.0,218.028,-5512.2,44.0871,0.070443,9.7408
21500.0,21428.0,218.078,-5507.2,43.7454,0.0698811,9.7406
21550.0,21477.0,218.127,-5502.3,43.4065,0.0693238,9.7405
21600.0,21527.0,218.177,-5497.3,43.0702,0.0687711,9.7403
21650.0,21577.0,218.227,-5492.3,42.7366,0.0682229,9.7402
21700.0,21626.0,218.276,-5487.4,42.4056,0.0676792,9.74
21750.0,21676.0,218.326,-5482.4,42.0774,0.06714,9.7399
21800.0,21725.0,218.375,-5477.5,41.7517,0.0666052,9.7397
21850.0,21775.0,218.425,-5472.5,41.4286,0.0660748,9.7396
21900.0,21825.0,218.475,-5467.5,41.1082,0.0655488,9.7394
21950.0,21874.0,218.524,-5462.6,40.7902,0.0650271,9.7393
22000.0,21924.0,218.574,-5457.6,40.4748,0.0645096,9.7391
22050.0,21974.0,218.624,-5452.6,40.162,0.0639964,9.739
22100.0,22023.0,218.673,-5447.7,39.8516,0.0634874,9.7388
22150.0,22073.0,218.723,-5442.7,39.5437,0.0629825,9.7387
22200.0,22123.0,218.773,-5437.7,39.2382,0.0624819,9.7385
22250.0,22172.0,218.822,-5432.8,38.9352,0.0619853,9.7384
22300.0,22222.0,218.872,-5427.8,38.6346,0.0614927,9.7382
22350.0,22272.0,218.922,-5422.8,38.3363,0.0610042,9.7381
22400.0,22321.0,218.971,-5417.9,38.0405,0.0605197,9.7379
22450.0,22371.0,219.021,-5412.9,37.747,0.0600392,9.7377
22500.0,22421.0,219.071,-5407.9,37.4558,0.0595626,9.7376
22550.0,22470.0,219.12,-5403.0,37.167,0.0590898,9.7374
22600.0,22520.0,219.17,-5398.0,36.8804,0.058621,9.7373
22650.0,22570.0,219.22,-5393.0,36.5962,0.058156,9.7371
22700.0,22619.0,219.269,-5388.1,36.3142,0.0576948,9.737
22750.0,22669.0,219.319,-5383.1,36.0344,0.0572373,9.7368
22800.0,22719.0,219.369,-5378.1,35.7569,0.0567836,9.7367
22850.0,22768.0,219.418,-5373.2,35.4815,0.0563336,9.7365
22900.0,22818.0,219.468,-5368.2,35.2083,0.0558873,9.7364
22950.0,22867.0,219.517,-5363.3,34.9373,0.0554446,9.7362
23000.0,22917.0,219.567,-5358.3,34.6685,0.0550055,9.7361
23050.0,22967.0,219.617,-5353.3,34.4018,0.05457,9.7359
23100.0,23016.0,219.666,-5348.4,34.1372,0.0541381,9.7358
23150.0,23066.0,219.716,-5343.4,33.8747,0.0537096,9.7356
23200.0,23116.0,219.766,-5338.4,33.6143,0.0532847,9.7355
23250.0,23165.0,219.815,-5333.5,33.356,0.0528633,9.7353
23300.0,23215.0,219.865,-5328.5,33.0997,0.0524452,9.7352
23350.0,23265.0,219.915,-5323.5,32.8454,0.0520306,9.735
23400.0,23314.0,219.964,-5318.6,32.5932,0.0516194,9.7348
23450.0,23364.0,220.014,-5313.6,32.3429,0.0512114,9.7347
23500.0,23413.0,220.063,-5308.7,32.0946,0.0508069,9.7345
23550.0,23463.0,220.113,-5303.7,31.8483,0.0504056,9.7344
23600.0,23513.0,220.163,-5298.7,31.604,0.0500076,9.7342
23650.0,23562.0,220.212,-5293.8,31.3615,0.0496128,9.7341
23700.0,23612.0,220.262,-5288.8,31.121,0.0492212,9.7339
23750.0,23662.0,220.312,-5283.8,30.8824,0.0488328,9.7338
23800.0,23711.0,220.361,-5278.9,30.6457,0.0484476,9.7336
23850.0,23761.0,220.411,-5273.9,30.4108,0.0480655,9.7335
