altitude,temperature,pressure,density
34500,235.12855401418122,617.2694819471764,0.009145501674069025
34600,235.4055349638872,608.4661122807306,0.009004463182002083
34700,235.68250724638133,599.7986949721169,0.008865766064864203
34800,235.9594708620704,591.2649705624035,0.008729368703953518
34900,236.2364258113612,582.8627197910034,0.008595230269041482
35000,236.51337209466053,574.5897628335687,0.008463310702515952
35100,236.79030971237506,566.4439585552267,0.008333570703861714
35200,237.06723866491154,558.4232037788198,0.008205971714470647
35300,237.34415895267662,550.5254325678353,0.00808047590277428
35400,237.62107057607702,542.7486155237201,0.007957046149691607
35500,237.8979735355193,535.0907590972541,0.007835646034384771
35600,238.17486783141013,527.549904913715,0.0077162398203162496
35700,238.45175346415607,520.1241291115132,0.00759879244160034
35800,238.72863043416368,512.8115416940318,0.0074832694896426865
35900,239.00549874183946,505.61028589438587,0.007369637200061361
36000,239.28235838758994,498.5185375528263,0.007257862439883173
36100,239.55920937182162,491.5345045065268,0.007147912695009196
36200,239.83605169494095,484.6564259914931,0.00703975605794353
36300,240.11288535735434,477.882572056334,0.006933361215779364
36400,240.38971035946818,471.2112429876542,0.006828697438436832
36500,240.66652670168892,464.6407687468184,0.00672573456714693
36600,240.94333438442283,458.16950841784904,0.006624443003176127
36700,241.2201334080763,451.7958496662303,0.006524793696786413
36800,241.49692377305558,445.51820820838475,0.006426758136425538
36900,241.773705479767,439.3350272916042,0.006330308338142411
37000,242.05047852861674,433.2447771842117,0.006235416835222673
37100,242.32724292001112,427.2459546757473,0.006142056668039666
37200,242.60399865435627,421.33708258696794,0.006050201374116092
37300,242.88074573205841,415.5167092894514,0.0059598249783916184
37400,243.15748415352368,409.78340823461957,0.005870901983692168
37500,243.43421391915817,404.13577749196605,0.0057834073613961985
37600,243.71093502936802,398.57243929631386,0.005697316542293897
37700,243.9876474845593,393.09203960391136,0.0056126054076350235
37800,244.26435128513802,387.6932476571834,0.005529250280361282
37900,244.54104643151024,382.3747555579546,0.005447227916519151
38000,244.81773292408195,377.1352778489796,0.005366515496849378
38100,245.09441076325913,371.9735511036051,0.005287090618549257
38200,245.37107994944773,366.88833352339265,0.00520893128720389
38300,245.64774048305364,361.878404543544,0.005132015908882833
38400,245.92439236448277,356.9425644459661,0.005056323282398538
38500,246.20103559414102,352.0796339798251,0.004981832591723158
38600,246.47767017243422,347.2884539894223,0.004908523398560116
38700,246.75429609976817,342.56788504926294,0.004836375635067399
38800,247.03091337654865,337.91680710614855,0.004765369596728969
38900,247.3075220031815,333.3341191281682,0.004695485935371411
39000,247.5841219800724,328.81873876043915,0.004626705652322537
39100,247.86071330762712,324.36960198745896,0.004559010091708915
39200,248.1372959862513,319.9856628019376,0.004492380933889375
39300,248.41387001635064,315.66589287998113,0.004426800189021635
39400,248.6904353983308,311.40928126248605,0.004362250190759037
39500,248.96699213259734,307.21483404263813,0.004298713590074866
39600,249.24354021955588,303.08157405936856,0.004236173349211233
39700,249.520079659612,299.0085405966699,0.004174612735750167
39800,249.79661045317127,294.9947890886383,0.00411401531680411
39900,250.07313260063913,291.0393908301301,0.004054364953323321
40000,250.3496461024211,287.1414326929244,0.003995645794517786
40100,250.62615095892266,283.300016847275,0.003937842272391112
40200,250.90264717054924,279.5142604887476,0.0038809390963840985
40300,251.17913473770628,275.78329557023204,0.0038249212481256036
40400,251.45561366079914,272.10626853903165,0.0037697739762885232
40500,251.7320839402332,268.4823400789217,0.0037154827915485767
40600,252.00854557641378,264.91068485707973,0.0036620334616437526
40700,252.2849985697462,261.3904912757964,0.0036094120065323946
40800,252.56144292063573,257.9209612288603,0.0035576046936476777
40900,252.83787862948768,254.5013098625317,0.003506598033246583
